제목,링크,썸네일,세로 size,가로 size
"관악구, 주거취약계층에 이사비 등 100만원지원",http://imgnews.naver.net/image/016/2023/06/01/20230601000163_0_20230601095201303.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F016%2F2023%2F06%2F01%2F20230601000163_0_20230601095201303.jpg,904,640
"""복비 1,000원 시대""... 인천시, 주거취약계층 '이사비 지원 사업' 큰 호응",http://imgnews.naver.net/image/5675/2026/04/06/0000077254_004_20260406124412891.png,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F5675%2F2026%2F04%2F06%2F0000077254_004_20260406124412891.png,335,600
"의왕시, 청년 이사비 지원사업 시행",http://imgnews.naver.net/image/5721/2025/01/15/0000121552_001_20250115073812699.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F5721%2F2025%2F01%2F15%2F0000121552_001_20250115073812699.jpg,340,600
"'반지하' 청년들에 이사비 지원…서울시 ""최대 40만원""",http://imgnews.naver.net/image/003/2022/09/05/NISI20220905_0001077960_web_20220905101003_20220905111616161.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F003%2F2022%2F09%2F05%2FNISI20220905_0001077960_web_20220905101003_20220905111616161.jpg,874,648
"산청군, 2025년 귀농인 이사비 지원사업 시행",http://imgnews.naver.net/image/5551/2025/02/13/0000342863_001_20250213224013761.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F5551%2F2025%2F02%2F13%2F0000342863_001_20250213224013761.jpg,398,700
"뉴스로 - 지자체가 보인다! - 수영구, 청년 이사비 지원사업 확대 시행 수영구, 청년 이사비 지원사업 확대 시행",https://img.newsro.kr/wp-content/uploads/2023/07/%EC%82%AC%EC%A7%84%EC%9E%90%EB%A3%8C%EC%88%98%EC%98%81%EA%B5%AC-%EC%B2%AD%EB%85%84-%EC%9D%B4%EC%82%AC%EB%B9%84%EC%9A%A9-%EC%A7%80%EC%9B%90%EC%82%AC%EC%97%85-%ED%99%95%EB%8C%80-%EC%B6%94%EC%A7%84-1.jpg,https://search.pstatic.net/sunny/?type=b150&src=https%3A%2F%2Fimg.newsro.kr%2Fwp-content%2Fuploads%2F2023%2F07%2F%25EC%2582%25AC%25EC%25A7%2584%25EC%259E%2590%25EB%25A3%258C%25EC%2588%2598%25EC%2598%2581%25EA%25B5%25AC-%25EC%25B2%25AD%25EB%2585%2584-%25EC%259D%25B4%25EC%2582%25AC%25EB%25B9%2584%25EC%259A%25A9-%25EC%25A7%2580%25EC%259B%2590%25EC%2582%25AC%25EC%2597%2585-%25ED%2599%2595%25EB%258C%2580-%25EC%25B6%2594%25EC%25A7%2584-1.jpg,459,707
"의정부시, 2026년 청년 중개수수료 및 이사비 지원사업 신청자 모집... 2026년 청년 중개수수료 및 이사비 지원사업 신청자 모집 - 내외일보",https://cdn.naewoeilbo.com/news/photo/202602/2311015_1320049_2013.jpg,https://search.pstatic.net/sunny/?type=b150&src=https%3A%2F%2Fcdn.naewoeilbo.com%2Fnews%2Fphoto%2F202602%2F2311015_1320049_2013.jpg,663,467
"서울시, 청년 부동산 중개보수 및 이사비 지원 사업…취약청년 집중 지원",http://imgnews.naver.net/image/5516/2022/12/30/0000027696_001_20221230115602293.png,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F5516%2F2022%2F12%2F30%2F0000027696_001_20221230115602293.png,266,600
"안양시, 청년 가구에 이사비 최대 50만원 지원",http://imgnews.naver.net/image/5366/2025/07/08/2025070813312403357d6b0ab7f1c591322451_20250708164412854.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F5366%2F2025%2F07%2F08%2F2025070813312403357d6b0ab7f1c591322451_20250708164412854.jpg,784,458
[안양 소식] 청년 이사비 지원사업 하반기에도 시행 등,http://imgnews.naver.net/image/417/2025/07/08/0001088100_001_20250708172807986.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F417%2F2025%2F07%2F08%2F0001088100_001_20250708172807986.jpg,495,909
"부산시, 청년에게 이사비 40만 원까지 지원… 8월 26일부터 모집 | 뉴스로",https://www.newsro.kr/wp-content/uploads/2025/08/%EC%B0%B8%EA%B3%A0%EC%82%AC%EC%A7%843.jpg,https://search.pstatic.net/sunny/?type=b150&src=https%3A%2F%2Fwww.newsro.kr%2Fwp-content%2Fuploads%2F2025%2F08%2F%25EC%25B0%25B8%25EA%25B3%25A0%25EC%2582%25AC%25EC%25A7%25843.jpg,667,1000
"영주시, 청년 이사비 최대 50만 원 지원",http://imgnews.naver.net/image/5293/2024/01/25/0000369454_001_20240125094801637.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F5293%2F2024%2F01%2F25%2F0000369454_001_20240125094801637.jpg,580,580
유관기관소식 2025년 경상북도 다자녀 가정 이사비 지원사업 안내,https://www.yd.go.kr/wp-content/uploads/kboard_attached/8/202507/202507170847591793036.jpg,https://search.pstatic.net/sunny/?type=b150&src=https%3A%2F%2Fwww.yd.go.kr%2Fwp-content%2Fuploads%2Fkboard_attached%2F8%2F202507%2F202507170847591793036.jpg,7016,4961
"경기도, '청년 이사비 및 중개보수비' 지원사업 참여자 모집",http://imgnews.naver.net/image/5095/2024/08/12/0001008444_001_20240812141010536.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F5095%2F2024%2F08%2F12%2F0001008444_001_20240812141010536.jpg,389,600
"영주시, 청년 이사비 최대 50만 원 지원",http://imgnews.naver.net/image/5291/2024/01/25/0001946577_001_20240125223602327.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F5291%2F2024%2F01%2F25%2F0001946577_001_20240125223602327.jpg,301,301
"인천 동구, 청년 웰컴페이(이사비) 지원사업 시행",http://imgnews.naver.net/image/5721/2025/01/31/0000122557_001_20250131143016136.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F5721%2F2025%2F01%2F31%2F0000122557_001_20250131143016136.jpg,399,600
"태안군, 청년들의 ‘태안살이’ 돕는다… ‘청년 이사비 지원사업’ 추진 | 뉴스로",https://www.newsro.kr/wp-content/uploads/2026/01/19bb8f3af21a4f46_1-771x1090.jpg,https://search.pstatic.net/sunny/?type=b150&src=https%3A%2F%2Fwww.newsro.kr%2Fwp-content%2Fuploads%2F2026%2F01%2F19bb8f3af21a4f46_1-771x1090.jpg,1090,771
"경주시, 2026년 다자녀 가정 지원사업 시행…""이사비·대출이자까지 지원!"" < 경북 < 전국 < 기사본문 - 인터넷조은뉴스 경주시, 2026년 다자녀... ",https://cdn.egn.kr/news/photo/202603/208834_313631_1127.jpg,https://search.pstatic.net/sunny/?type=b150&src=https%3A%2F%2Fcdn.egn.kr%2Fnews%2Fphoto%2F202603%2F208834_313631_1127.jpg,767,600
"인천시, ‘전입 청년 대상’, …이사비 최대 40만 원 지원",http://imgnews.naver.net/image/119/2025/04/30/0002951138_001_20250430084711371.png,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F119%2F2025%2F04%2F30%2F0002951138_001_20250430084711371.png,750,528
청년 이사비·월세 지원 확대…최대 50만원 어디서 어떻게 받나,http://imgnews.naver.net/image/022/2026/06/23/20260623502469_20260623071507107.png,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F022%2F2026%2F06%2F23%2F20260623502469_20260623071507107.png,1536,2816
"화성특례시, '청년 부동산 중개보수ㆍ이사비 지원사업' 신청자 모집",http://imgnews.naver.net/image/5802/2026/01/19/0000146779_001_20260126180707657.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F5802%2F2026%2F01%2F19%2F0000146779_001_20260126180707657.jpg,850,600
청년 이사비 지원 정책 요약,https://i.pinimg.com/736x/bc/fe/5e/bcfe5eef81ab3ada9a6561501b5f808f.jpg,https://search.pstatic.net/sunny/?type=b150&src=https%3A%2F%2Fi.pinimg.com%2F736x%2Fbc%2Ffe%2F5e%2Fbcfe5eef81ab3ada9a6561501b5f808f.jpg,736,736
"울산 중구, 쪽방·반지하 주민 이사비 지원… 최대 40만원",http://imgnews.naver.net/image/5286/2023/02/17/20230217500142_20230217172403065.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F5286%2F2023%2F02%2F17%2F20230217500142_20230217172403065.jpg,334,512
"서울시, 반지하·옥탑방 청년에 이사비 등 최대 1천만원 지원",http://imgnews.naver.net/image/003/2025/02/24/NISI20250223_0001776240_web_20250223084415_20250224062713999.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F003%2F2025%2F02%2F24%2FNISI20250223_0001776240_web_20250223084415_20250224062713999.jpg,1016,720
삼척시 기초수급자 이사비 20만원 지원,http://imgnews.naver.net/image/421/2020/10/05/0004907086_001_20201005162146038.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F421%2F2020%2F10%2F05%2F0004907086_001_20201005162146038.jpg,933,1400
"경기 광주시, 1인 청년 가구 이사비 '최대 50만원' 지원",http://imgnews.naver.net/image/014/2023/02/27/0004974657_001_20230227104503018.png,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F014%2F2023%2F02%2F27%2F0004974657_001_20230227104503018.png,800,800
"영주시, 청년 이사비 최대 50만 원 지원",http://imgnews.naver.net/image/5698/2023/05/10/0000122676_002_20230510134403847.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F5698%2F2023%2F05%2F10%2F0000122676_002_20230510134403847.jpg,600,600
"전주시, 저소득층 10가구 대상 ‘보금자리 이사비 지원 사업’ 추진",http://imgnews.naver.net/image/5181/2020/02/28/0001706780_001_20200228115408951.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F5181%2F2020%2F02%2F28%2F0001706780_001_20200228115408951.jpg,357,445
"서울시, 반지하·고시원 청년층에 이사비 지원… 최대 '40만원'",http://imgnews.naver.net/image/5526/2022/09/05/0000310181_001_20220905133602681.png,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F5526%2F2022%2F09%2F05%2F0000310181_001_20220905133602681.png,349,600
"울산 중구, 쪽방·반지하 거주 주민 이사비 지원…최대 40만원",http://imgnews.naver.net/image/5184/2023/02/19/0000306637_001_20230219222211536.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F5184%2F2023%2F02%2F19%2F0000306637_001_20230219222211536.jpg,381,600
"[아유경제_부동산] 서울시, '청년 부동산 중개보수 및 이사비 지원사업' 실시… 1인 최대 40만 원 지원",http://imgnews.naver.net/image/5609/2024/04/01/0000037644_001_20240703145730867.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F5609%2F2024%2F04%2F01%2F0000037644_001_20240703145730867.jpg,800,1200
"춘천시, 주거취약계층 이사비 '40만원' 지원",http://imgnews.naver.net/image/5294/2023/02/27/0000273564_001_20230227161801660.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F5294%2F2023%2F02%2F27%2F0000273564_001_20230227161801660.jpg,600,600
"태안군, ‘청년 이사비 지원’… 최대 40만원",http://imgnews.naver.net/image/5364/2024/06/20/0000906833_001_20240620142032462.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F5364%2F2024%2F06%2F20%2F0000906833_001_20240620142032462.jpg,560,396
복비·이사비 지원받은 서울 청년 3286명…15%가 ‘지옥고’에 산다,http://imgnews.naver.net/image/032/2022/12/29/0003195897_001_20250521183439843.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F032%2F2022%2F12%2F29%2F0003195897_001_20250521183439843.jpg,467,700
청년들 스스로 발굴한 청년을 위한 이사비 지원 첫 시행,http://imgnews.naver.net/image/5572/2024/02/05/0000056145_001_20240205160802287.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F5572%2F2024%2F02%2F05%2F0000056145_001_20240205160802287.jpg,351,600
"무주택 청년 인천 전입···인천시, 이사비 최대 40만원 지원",http://imgnews.naver.net/image/032/2025/04/30/0003366615_001_20250430094211999.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F032%2F2025%2F04%2F30%2F0003366615_001_20250430094211999.jpg,363,583
"익산시, 전입 청년에 문화생활.이사비 지원",http://imgnews.naver.net/image/5847/2025/10/10/0000027210_001_20251010213219223.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F5847%2F2025%2F10%2F10%2F0000027210_001_20251010213219223.jpg,1080,1920
"서울시, 내년부터 청년 이사비 40만원·교통비 10만원 지원한다",http://imgnews.naver.net/image/081/2021/10/28/0003225434_001_20211028050743219.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F081%2F2021%2F10%2F28%2F0003225434_001_20211028050743219.jpg,540,767
"다방, 위매치다이사와 '이사비 지원' 프로모션",http://imgnews.naver.net/image/018/2022/04/29/0005203475_001_20220429090501123.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F018%2F2022%2F04%2F29%2F0005203475_001_20220429090501123.jpg,409,670
"관악구, 전세피해자 지원 사업 나서…보증료·이사비 등",http://imgnews.naver.net/image/003/2025/01/14/NISI20250114_0001750042_web_20250114144742_20250114154419566.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F003%2F2025%2F01%2F14%2FNISI20250114_0001750042_web_20250114144742_20250114154419566.jpg,704,720
"[카드뉴스] 서울시, 청년 부동산 중개보수 및 이사비 지원 사업…취약청년 집중 지원 > 카드뉴스 > 시민관심정보 > 시민소통 > 정보소통광장... ",https://opengov.seoul.go.kr/applefine1box/sites/default/files/editor/20230104/20230104152701_06229997914fc88e15c9dc6e855384db.png,https://search.pstatic.net/sunny/?type=b150&src=https%3A%2F%2Fopengov.seoul.go.kr%2Fapplefine1box%2Fsites%2Fdefault%2Ffiles%2Feditor%2F20230104%2F20230104152701_06229997914fc88e15c9dc6e855384db.png,800,800
"서울시 “‘청년 이사비’, 중개수수료도 지원합니다”···최대 40만원",http://imgnews.naver.net/image/032/2022/10/10/0003178418_001_20250522090611187.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F032%2F2022%2F10%2F10%2F0003178418_001_20250522090611187.jpg,250,650
‘영주시 청년인구 늘리기 안간힘’…전입 청년 이사비 최대50만원 지원,http://imgnews.naver.net/image/016/2024/01/25/202401251642073132089_20240125164721_01_20240125164901396.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F016%2F2024%2F01%2F25%2F202401251642073132089_20240125164721_01_20240125164901396.jpg,311,550
[오늘 경기] 주거 취약계층 이사비 최대 40만원 지원,http://imgnews.naver.net/image/417/2026/02/04/0001128081_001_20260204075909439.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F417%2F2026%2F02%2F04%2F0001128081_001_20260204075909439.jpg,482,1364
[공감신문 알쓸다정] 이사 앞둔 청년이라면…'이사비 지원' 지역 소개,http://imgnews.naver.net/image/5264/2022/08/25/0000605389_001_20220826103401726.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F5264%2F2022%2F08%2F25%2F0000605389_001_20220826103401726.jpg,400,600
"장흥군, 귀농인 이사비용 지원사업 ‘눈길’",http://imgnews.naver.net/image/468/2020/09/08/0000695555_001_20200908154340261.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F468%2F2020%2F09%2F08%2F0000695555_001_20200908154340261.jpg,375,500
"안양시, 청년가구 이사비 최대 50만원 지원…20일까지 신청 가능",http://www.thesegye.com/news/data/2026/03/06/p1065588439154858_935_thum.jpg,https://search.pstatic.net/sunny/?type=b150&src=http%3A%2F%2Fwww.thesegye.com%2Fnews%2Fdata%2F2026%2F03%2F06%2Fp1065588439154858_935_thum.jpg,1122,780
"영주시, 경북도 최초 청년 이사비 최대 50만원 지원",http://imgnews.naver.net/image/5268/2023/05/09/0001793234_001_20230509104803662.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F5268%2F2023%2F05%2F09%2F0001793234_001_20230509104803662.jpg,369,658
"""재건축 시공사, 이사비 못 준다""…정비사업 수주 '전면 손질'",http://imgnews.naver.net/image/008/2017/10/30/0003955533_002_20171030154251539.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F008%2F2017%2F10%2F30%2F0003955533_002_20171030154251539.jpg,336,540
"안양시, 주거취약계층 이사비·생필품 구입비 가구당 40만원까지 지원",http://imgnews.naver.net/image/5525/2023/02/08/0000321578_001_20230208110602408.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F5525%2F2023%2F02%2F08%2F0000321578_001_20230208110602408.jpg,718,960
"인천시, 쪽방촌 주민 등 이사비 최대 40만 원 지원",http://imgnews.naver.net/image/5556/2026/03/05/0000132848_001_20260305103813145.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F5556%2F2026%2F03%2F05%2F0000132848_001_20260305103813145.jpg,338,600
[2023년 예산안]반지하 이사비 지원·생계급여 인상 등 복지 늘려…일자리·SOC 예산은 삭감,http://imgnews.naver.net/image/277/2022/08/30/0005140011_002_20220830111608718.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F277%2F2022%2F08%2F30%2F0005140011_002_20220830111608718.jpg,433,325
