token,경주빈도,전주빈도,빈도합,경주비율,전주비율
두부,10,10,20,50.0,50.0
능소화,10,10,20,50.0,50.0
노천온천,10,10,20,50.0,50.0
떡갈비,10,10,20,50.0,50.0
문화유산,10,10,20,50.0,50.0
동방역,10,10,20,50.0,50.0
강동면,10,10,20,50.0,50.0
고래,10,10,20,50.0,50.0
관광지,10,10,20,50.0,50.0
검색,10,10,20,50.0,50.0
마무리,10,10,20,50.0,50.0
도보,10,10,20,50.0,50.0
계획,10,10,20,50.0,50.0
마니아,10,10,20,50.0,50.0
모녀,10,10,20,50.0,50.0
대말,10,10,20,50.0,50.0
근처,10,10,20,50.0,50.0
경비,10,10,20,50.0,50.0
공원,10,10,20,50.0,50.0
연휴,10,10,20,50.0,50.0
고향,10,10,20,50.0,50.0
여름,10,10,20,50.0,50.0
촬영,10,10,20,50.0,50.0
천마,10,10,20,50.0,50.0
참고,10,10,20,50.0,50.0
지식,10,10,20,50.0,50.0
압지,10,10,20,50.0,50.0
아침,10,10,20,50.0,50.0
가격,10,10,20,50.0,50.0
설명,10,10,20,50.0,50.0
시각,10,10,20,50.0,50.0
순두부찌개,10,10,20,50.0,50.0
세계,10,10,20,50.0,50.0
서재,10,10,20,50.0,50.0
숲길,10,10,20,50.0,50.0
시내,10,10,20,50.0,50.0
볼거리,10,10,20,50.0,50.0
버드,10,10,20,50.0,50.0
시대,10,10,20,50.0,50.0
백제,10,10,20,50.0,50.0
배달,10,10,20,50.0,50.0
반월,10,10,20,50.0,50.0
가능,10,10,20,50.0,50.0
산수유,10,10,20,50.0,50.0
보관,10,10,20,50.0,50.0
여도,10,10,20,50.0,50.0
체험,10,10,20,50.0,50.0
사랑,10,10,20,50.0,50.0
최적,10,10,20,50.0,50.0
해외,10,10,20,50.0,50.0
엑스,10,10,20,50.0,50.0
컨셉,10,10,20,50.0,50.0
언니,10,10,20,50.0,50.0
옥수수,10,10,20,50.0,50.0
정원,10,10,20,50.0,50.0
조금,10,10,20,50.0,50.0
준비,10,10,20,50.0,50.0
후배,10,10,20,50.0,50.0
황오,10,10,20,50.0,50.0
황남빵,10,10,20,50.0,50.0
황금,10,10,20,50.0,50.0
에도,10,10,20,50.0,50.0
학교,10,10,20,50.0,50.0
통일전,10,10,20,50.0,50.0
클라라,10,10,20,50.0,50.0
필요,10,10,20,50.0,50.0
탐방,10,10,20,50.0,50.0
토함산,10,10,20,50.0,50.0
키워드,10,10,20,50.0,50.0
코로나,10,10,20,50.0,50.0
트레,10,10,20,50.0,50.0
포대,10,10,20,50.0,50.0
플레이스,10,10,20,50.0,50.0
매화,5,5,10,50.0,50.0
미디어,5,5,10,50.0,50.0
무대,5,5,10,50.0,50.0
산사,5,5,10,50.0,50.0
보름달,5,5,10,50.0,50.0
변경,5,5,10,50.0,50.0
바디,5,5,10,50.0,50.0
바람,5,5,10,50.0,50.0
바보,5,5,10,50.0,50.0
미술관,5,5,10,50.0,50.0
밥상,5,5,10,50.0,50.0
미국,5,5,10,50.0,50.0
반찬,5,5,10,50.0,50.0
밤잠,5,5,10,50.0,50.0
사진가,5,5,10,50.0,50.0
밥집,5,5,10,50.0,50.0
문화재,5,5,10,50.0,50.0
배려,5,5,10,50.0,50.0
배롱나무,5,5,10,50.0,50.0
배민,5,5,10,50.0,50.0
문화원,5,5,10,50.0,50.0
문화,5,5,10,50.0,50.0
버블,5,5,10,50.0,50.0
산내,5,5,10,50.0,50.0
사전,5,5,10,50.0,50.0
매화꽃,5,5,10,50.0,50.0
사지,5,5,10,50.0,50.0
숨결,5,5,10,50.0,50.0
번호,5,5,10,50.0,50.0
순수,5,5,10,50.0,50.0
순부,5,5,10,50.0,50.0
보문관광단지,5,5,10,50.0,50.0
무궁화호,5,5,10,50.0,50.0
봄꽃,5,5,10,50.0,50.0
부지,5,5,10,50.0,50.0
북군동,5,5,10,50.0,50.0
모전,5,5,10,50.0,50.0
모습,5,5,10,50.0,50.0
불고기,5,5,10,50.0,50.0
모델,5,5,10,50.0,50.0
불국사역,5,5,10,50.0,50.0
블로그,5,5,10,50.0,50.0
비뉴,5,5,10,50.0,50.0
비빔,5,5,10,50.0,50.0
비향,5,5,10,50.0,50.0
메카,5,5,10,50.0,50.0
사실,5,5,10,50.0,50.0
사정,5,5,10,50.0,50.0
문학관,5,5,10,50.0,50.0
수고,5,5,10,50.0,50.0
법칙,5,5,10,50.0,50.0
문제,5,5,10,50.0,50.0
숙박,5,5,10,50.0,50.0
라면,5,5,10,50.0,50.0
라떼,5,5,10,50.0,50.0
성터,5,5,10,50.0,50.0
매표,5,5,10,50.0,50.0
성지,5,5,10,50.0,50.0
성당,5,5,10,50.0,50.0
삼국,5,5,10,50.0,50.0
삼층석탑,5,5,10,50.0,50.0
상춘객,5,5,10,50.0,50.0
상호,5,5,10,50.0,50.0
새벽,5,5,10,50.0,50.0
새송이,5,5,10,50.0,50.0
만족,5,5,10,50.0,50.0
생선,5,5,10,50.0,50.0
생태,5,5,10,50.0,50.0
생필품,5,5,10,50.0,50.0
샴푸,5,5,10,50.0,50.0
서나,5,5,10,50.0,50.0
서라벌,5,5,10,50.0,50.0
만발,5,5,10,50.0,50.0
만끽,5,5,10,50.0,50.0
만개,5,5,10,50.0,50.0
수채화,5,5,10,50.0,50.0
수상,5,5,10,50.0,50.0
수단,5,5,10,50.0,50.0
소고기,5,5,10,50.0,50.0
벚나무,5,5,10,50.0,50.0
무웅,5,5,10,50.0,50.0
병원,5,5,10,50.0,50.0
이동,5,5,10,50.0,50.0
산송,5,5,10,50.0,50.0
매력,5,5,10,50.0,50.0
성호,5,5,10,50.0,50.0
세상,5,5,10,50.0,50.0
센터,5,5,10,50.0,50.0
마감,5,5,10,50.0,50.0
소나무,5,5,10,50.0,50.0
오랜만,5,5,10,50.0,50.0
린스,5,5,10,50.0,50.0
리조트,5,5,10,50.0,50.0
소인,5,5,10,50.0,50.0
소장,5,5,10,50.0,50.0
소재지,5,5,10,50.0,50.0
손님,5,5,10,50.0,50.0
솔거,5,5,10,50.0,50.0
송국영,5,5,10,50.0,50.0
송이,5,5,10,50.0,50.0
송진주,5,5,10,50.0,50.0
당일,5,5,10,50.0,50.0
등산,5,5,10,50.0,50.0
대능원,5,5,10,50.0,50.0
시계,5,5,10,50.0,50.0
실천,5,5,10,50.0,50.0
등대,5,5,10,50.0,50.0
스콘,5,5,10,50.0,50.0
드라이브,5,5,10,50.0,50.0
스테이,5,5,10,50.0,50.0
스토리,5,5,10,50.0,50.0
스토어,5,5,10,50.0,50.0
시가지,5,5,10,50.0,50.0
둘레길,5,5,10,50.0,50.0
두산,5,5,10,50.0,50.0
시그,5,5,10,50.0,50.0
동리,5,5,10,50.0,50.0
시기,5,5,10,50.0,50.0
동행,5,5,10,50.0,50.0
동쪽,5,5,10,50.0,50.0
시외,5,5,10,50.0,50.0
동안,5,5,10,50.0,50.0
동산,5,5,10,50.0,50.0
시장,5,5,10,50.0,50.0
시티투어,5,5,10,50.0,50.0
식당,5,5,10,50.0,50.0
신청,5,5,10,50.0,50.0
아기,5,5,10,50.0,50.0
야생,5,5,10,50.0,50.0
실시간,5,5,10,50.0,50.0
애벌레,5,5,10,50.0,50.0
막걸리,5,5,10,50.0,50.0
아시나,5,5,10,50.0,50.0
동대구,5,5,10,50.0,50.0
동국,5,5,10,50.0,50.0
안녕,5,5,10,50.0,50.0
안압,5,5,10,50.0,50.0
돌핀,5,5,10,50.0,50.0
안종,5,5,10,50.0,50.0
돌담길,5,5,10,50.0,50.0
돌고래,5,5,10,50.0,50.0
아쉬움,5,5,10,50.0,50.0
데이트,5,5,10,50.0,50.0
독서,5,5,10,50.0,50.0
양념,5,5,10,50.0,50.0
도시,5,5,10,50.0,50.0
어디,5,5,10,50.0,50.0
언양,5,5,10,50.0,50.0
얼마,5,5,10,50.0,50.0
얼음,5,5,10,50.0,50.0
도로,5,5,10,50.0,50.0
에세이,5,5,10,50.0,50.0
에이치,5,5,10,50.0,50.0
신평동,5,5,10,50.0,50.0
엑스포,5,5,10,50.0,50.0
예정,5,5,10,50.0,50.0
연중무휴,5,5,10,50.0,50.0
오전,5,5,10,50.0,50.0
오랫만,5,5,10,50.0,50.0
여주,5,5,10,50.0,50.0
대중,5,5,10,50.0,50.0
대종,5,5,10,50.0,50.0
연꽃,5,5,10,50.0,50.0
연못,5,5,10,50.0,50.0
연수원,5,5,10,50.0,50.0
대전,5,5,10,50.0,50.0
연주,5,5,10,50.0,50.0
대작,5,5,10,50.0,50.0
이곳,5,5,10,50.0,50.0
열매,5,5,10,50.0,50.0
열중,5,5,10,50.0,50.0
염불,5,5,10,50.0,50.0
대인,5,5,10,50.0,50.0
영업시간,5,5,10,50.0,50.0
영조,5,5,10,50.0,50.0
대상지,5,5,10,50.0,50.0
예보,5,5,10,50.0,50.0
예쁘다,5,5,10,50.0,50.0
예전,5,5,10,50.0,50.0
오후,5,5,10,50.0,50.0
은행,5,5,10,50.0,50.0
더덕구이,5,5,10,50.0,50.0
능원,5,5,10,50.0,50.0
대학교,5,5,10,50.0,50.0
대표,5,5,10,50.0,50.0
옥천사,5,5,10,50.0,50.0
와이프,5,5,10,50.0,50.0
담장,5,5,10,50.0,50.0
외관,5,5,10,50.0,50.0
요기,5,5,10,50.0,50.0
단지,5,5,10,50.0,50.0
다보탑,5,5,10,50.0,50.0
다리,5,5,10,50.0,50.0
워시,5,5,10,50.0,50.0
육월,5,5,10,50.0,50.0
원래,5,5,10,50.0,50.0
월산,5,5,10,50.0,50.0
월요일,5,5,10,50.0,50.0
눈발,5,5,10,50.0,50.0
눈높이,5,5,10,50.0,50.0
유익,5,5,10,50.0,50.0
유적,5,5,10,50.0,50.0
미안,5,5,10,50.0,50.0
유혹,5,5,10,50.0,50.0
육수,5,5,10,50.0,50.0
석가탑,5,5,10,50.0,50.0
작년,5,5,10,50.0,50.0
석탑,5,5,10,50.0,50.0
내부,5,5,10,50.0,50.0
기억,5,5,10,50.0,50.0
절판,5,5,10,50.0,50.0
기상,5,5,10,50.0,50.0
기분,5,5,10,50.0,50.0
정글,5,5,10,50.0,50.0
김홍식,5,5,10,50.0,50.0
기본,5,5,10,50.0,50.0
꽃길,5,5,10,50.0,50.0
자랑,5,5,10,50.0,50.0
내소,5,5,10,50.0,50.0
이용,5,5,10,50.0,50.0
진행,5,5,10,50.0,50.0
이웃,5,5,10,50.0,50.0
이제,5,5,10,50.0,50.0
낮술,5,5,10,50.0,50.0
이후,5,5,10,50.0,50.0
인기,5,5,10,50.0,50.0
인왕동,5,5,10,50.0,50.0
낭만,5,5,10,50.0,50.0
인테리어,5,5,10,50.0,50.0
남편,5,5,10,50.0,50.0
일시,5,5,10,50.0,50.0
기타,5,5,10,50.0,50.0
전작,5,5,10,50.0,50.0
낙엽,5,5,10,50.0,50.0
자전거,5,5,10,50.0,50.0
경관,5,5,10,50.0,50.0
한우구,5,5,10,50.0,50.0
해변,5,5,10,50.0,50.0
결론,5,5,10,50.0,50.0
해장국,5,5,10,50.0,50.0
판다,5,5,10,50.0,50.0
집사람,5,5,10,50.0,50.0
교통,5,5,10,50.0,50.0
진입,5,5,10,50.0,50.0
자연사,5,5,10,50.0,50.0
김유신,5,5,10,50.0,50.0
전시관,5,5,10,50.0,50.0
작가,5,5,10,50.0,50.0
장군,5,5,10,50.0,50.0
장맛비,5,5,10,50.0,50.0
장생포,5,5,10,50.0,50.0
김연우,5,5,10,50.0,50.0
재단,5,5,10,50.0,50.0
길잡이,5,5,10,50.0,50.0
저자,5,5,10,50.0,50.0
기획,5,5,10,50.0,50.0
전경,5,5,10,50.0,50.0
일요일,5,5,10,50.0,50.0
일전,5,5,10,50.0,50.0
학자,5,5,10,50.0,50.0
기라,5,5,10,50.0,50.0
중심지,5,5,10,50.0,50.0
기념관,5,5,10,50.0,50.0
주목,5,5,10,50.0,50.0
지역,5,5,10,50.0,50.0
중학교,5,5,10,50.0,50.0
제공,5,5,10,50.0,50.0
제격,5,5,10,50.0,50.0
제휴,5,5,10,50.0,50.0
주말,5,5,10,50.0,50.0
조광민,5,5,10,50.0,50.0
제주도,5,5,10,50.0,50.0
중교,5,5,10,50.0,50.0
조상,5,5,10,50.0,50.0
정화,5,5,10,50.0,50.0
조식,5,5,10,50.0,50.0
종료,5,5,10,50.0,50.0
지이,5,5,10,50.0,50.0
지적,5,5,10,50.0,50.0
종류,5,5,10,50.0,50.0
좌우,5,5,10,50.0,50.0
지인,5,5,10,50.0,50.0
제육,5,5,10,50.0,50.0
중순,5,5,10,50.0,50.0
국수,5,5,10,50.0,50.0
일정,5,5,10,50.0,50.0
국도,5,5,10,50.0,50.0
일종,5,5,10,50.0,50.0
입구,5,5,10,50.0,50.0
입력,5,5,10,50.0,50.0
입맛,5,5,10,50.0,50.0
입장,5,5,10,50.0,50.0
자녀,5,5,10,50.0,50.0
자료,5,5,10,50.0,50.0
정리,5,5,10,50.0,50.0
전향,5,5,10,50.0,50.0
궁전,5,5,10,50.0,50.0
국밥,5,5,10,50.0,50.0
국수집,5,5,10,50.0,50.0
지번,5,5,10,50.0,50.0
지도자,5,5,10,50.0,50.0
그늘,5,5,10,50.0,50.0
주소,5,5,10,50.0,50.0
그곳,5,5,10,50.0,50.0
지난주,5,5,10,50.0,50.0
주제,5,5,10,50.0,50.0
정보,5,5,10,50.0,50.0
국보,5,5,10,50.0,50.0
쥬얼,5,5,10,50.0,50.0
한국,5,5,10,50.0,50.0
학생,5,5,10,50.0,50.0
선물,5,5,10,50.0,50.0
구이,5,5,10,50.0,50.0
티비,5,5,10,50.0,50.0
티켓,5,5,10,50.0,50.0
고도,5,5,10,50.0,50.0
고수,5,5,10,50.0,50.0
케이트,5,5,10,50.0,50.0
컨트리클럽,5,5,10,50.0,50.0
관람,5,5,10,50.0,50.0
참여,5,5,10,50.0,50.0
창고,5,5,10,50.0,50.0
척사,5,5,10,50.0,50.0
구매,5,5,10,50.0,50.0
특별,5,5,10,50.0,50.0
천문,5,5,10,50.0,50.0
구름,5,5,10,50.0,50.0
구독,5,5,10,50.0,50.0
노서동,5,5,10,50.0,50.0
체인,5,5,10,50.0,50.0
관측대,5,5,10,50.0,50.0
초등,5,5,10,50.0,50.0
관측,5,5,10,50.0,50.0
관점,5,5,10,50.0,50.0
추억,5,5,10,50.0,50.0
특징,5,5,10,50.0,50.0
특구,5,5,10,50.0,50.0
출간,5,5,10,50.0,50.0
타워,5,5,10,50.0,50.0
선사,5,5,10,50.0,50.0
마당,5,5,10,50.0,50.0
섭렵,5,5,10,50.0,50.0
성동,5,5,10,50.0,50.0
이동은,5,5,10,50.0,50.0
밀면,5,5,10,50.0,50.0
내용,5,5,10,50.0,50.0
공부,5,5,10,50.0,50.0
크리스마스,5,5,10,50.0,50.0
곳곳,5,5,10,50.0,50.0
타임캡슐,5,5,10,50.0,50.0
고분,5,5,10,50.0,50.0
탁주,5,5,10,50.0,50.0
고조,5,5,10,50.0,50.0
탐방기,5,5,10,50.0,50.0
탑승,5,5,10,50.0,50.0
고요,5,5,10,50.0,50.0
공연장,5,5,10,50.0,50.0
터널,5,5,10,50.0,50.0
테마,5,5,10,50.0,50.0
고속도로,5,5,10,50.0,50.0
고속,5,5,10,50.0,50.0
관련,5,5,10,50.0,50.0
출입문,5,5,10,50.0,50.0
경상도,5,5,10,50.0,50.0
고갯길,5,5,10,50.0,50.0
가본,5,5,10,50.0,50.0
훌리아,5,5,10,50.0,50.0
휴게소,5,5,10,50.0,50.0
가보세요,5,5,10,50.0,50.0
황룡사,5,5,10,50.0,50.0
게장,5,5,10,50.0,50.0
햇살,5,5,10,50.0,50.0
핵심,5,5,10,50.0,50.0
평가,5,5,10,50.0,50.0
평온,5,5,10,50.0,50.0
평화,5,5,10,50.0,50.0
회사,5,5,10,50.0,50.0
포석정,5,5,10,50.0,50.0
포스팅,5,5,10,50.0,50.0
포함,5,5,10,50.0,50.0
계명,5,5,10,50.0,50.0
계란찜,5,5,10,50.0,50.0
피날레,5,5,10,50.0,50.0
피로,5,5,10,50.0,50.0
필수,5,5,10,50.0,50.0
경험,5,5,10,50.0,50.0
핑크,5,5,10,50.0,50.0
가요,5,5,10,50.0,50.0
황청,5,5,10,50.0,50.0
출장,5,5,10,50.0,50.0
호두,5,5,10,50.0,50.0
취향,5,5,10,50.0,50.0
관람료,5,5,10,50.0,50.0
친절,5,5,10,50.0,50.0
칠불암,5,5,10,50.0,50.0
파전,5,5,10,50.0,50.0
구판,5,5,10,50.0,50.0
고기,5,5,10,50.0,50.0
패밀리,5,5,10,50.0,50.0
형성,5,5,10,50.0,50.0
호기심,5,5,10,50.0,50.0
호랑이,5,5,10,50.0,50.0
간직,5,5,10,50.0,50.0
호수,5,5,10,50.0,50.0
개정판,5,5,10,50.0,50.0
활산,5,5,10,50.0,50.0
감포,5,5,10,50.0,50.0
황남동,5,5,10,50.0,50.0
감상,5,5,10,50.0,50.0
행사,5,5,10,50.0,50.0
황룡,5,5,10,50.0,50.0
감사,5,5,10,50.0,50.0
갈비,5,5,10,50.0,50.0
누리,5,5,10,50.0,50.0
